date,stockcode,operatetype,referencenum,referenceprice
2002-08-23,sz000676,buy,3102,12.682231280621471
2002-08-26,sz000065,buy,4558,5.5539553460448934
2002-08-26,sz000876,buy,11032,2.8086892063708797
2002-08-27,sh600306,buy,2245,13.721069640379945
2002-08-28,sh600683,buy,6896,3.99210178241642
2002-08-28,sh600817,buy,2123,9.652790605074145
2002-08-28,sz000736,buy,2105,12.384804934371671
2002-08-29,sz000599,buy,6212,4.0278795378149308
2002-09-03,sh600819,buy,4400,6.1682219578546533
2002-09-03,sz000633,buy,6602,26.395294189453125
2002-09-05,sh600129,sell,-1457,13.806620971075061
2002-09-06,sz000812,buy,4674,4.8006303546102078
2002-09-06,sh600748,sell,-2907,4.7621495392112454
2002-09-06,sz000031,sell,-8912,2.0116379839519425
2002-09-09,sh600256,sell,-14909,1.4747927652366388
2002-09-09,sh600810,sell,-4149,5.0966175087322769
2002-09-10,sz000652,buy,10039,2.4301110257786989
2002-09-10,sh600895,sell,-5991,4.0557867362888231
2002-09-11,sh600649,sell,-7249,4.2408271968662081
2002-09-11,sz000062,sell,-2344,7.4469690322875977
2002-09-12,sh600228,sell,-2888,13.318416886514571
2002-09-12,sz000012,sell,-6028,3.2248834479880619
2002-09-16,sh600115,sell,-6079,3.9406050926583136
2002-09-17,sz000606,sell,-2932,6.9431270250854809
2002-09-17,sz000890,sell,-3527,4.6769834118775861
2002-09-19,sz000021,sell,-3809,4.3223500451905137
2002-09-24,sh600767,sell,-2181,7.3199257625390128
2002-09-25,sh600120,sell,-9395,5.5880719943412807
2002-09-25,sz000738,sell,-3474,3.7344399783095734
2002-09-27,sh600399,sell,-10228,1.8381525182672507
2002-09-27,sz000061,sell,-11129,2.3771264796601934
2002-10-08,sh600602,sell,-2693,5.0382616349014482
2002-10-09,sz000637,buy,10608,5.3828455545340086
2002-10-09,sh600171,sell,-2133,8.5800372016954629
2002-10-09,sz000416,sell,-6760,6.5573955935427612
2002-10-09,sz000828,sell,-4538,4.3759959297629658
2002-10-10,sh600018,sell,-7479,3.0639650821685791
2002-10-10,sh600235,sell,-3308,9.1773090851407453
2002-10-10,sh600290,sell,-5793,4.5083610179397366
2002-10-10,sh600688,sell,-17493,1.3154403369298036
2002-10-10,sh600701,sell,-4020,3.9563451195561372
2002-10-10,sh600741,sell,-16390,1.7347496010535546
2002-10-10,sh600745,sell,-2646,11.775891575251713
2002-10-10,sh600812,sell,-5902,3.1876840591430664
2002-10-10,sh600877,sell,-6359,2.9414751925248352
2002-10-10,sz000036,sell,-6706,2.3604557869254927
2002-10-10,sz000065,sell,-4558,4.3935495537388602
2002-10-10,sz000570,sell,-4159,3.14790651649579
2002-10-10,sz000726,sell,-7383,2.4385908752283201
2002-10-11,sh600132,sell,-3464,5.2128299550717818
2002-10-11,sh600178,sell,-3375,5.1401776840619107
2002-10-11,sz000058,sell,-2230,6.2252093886723001
2002-10-11,sz000707,sell,-3754,4.3796421522437745
2002-10-11,sz000835,sell,-7497,3.7742999174838219
2002-10-14,sh600778,sell,-2642,5.3554169408947647
2002-10-14,sh600845,sell,-2651,4.4306128723976048
2002-10-14,sz000001,sell,-6971,3.0487575457165463
2002-10-14,sz000701,sell,-2532,5.43184682222953
2002-10-15,sh600252,sell,-47181,0.38279268057070437
2002-10-15,sz000626,sell,-2351,7.8255522116772998
2002-10-15,sz000876,sell,-11032,2.3210225055160048
2002-10-16,sz000629,sell,-18144,1.3706769943237305
2002-10-18,sh600108,sell,-9087,1.7354389351793043
2002-10-18,sh600611,sell,-10121,1.8219487634213007
2002-10-18,sh600789,sell,-3704,4.1612768173217773
2002-10-18,sh600866,sell,-4422,3.8659991914308054
2002-10-18,sh600867,sell,-12094,1.5224996536606143
2002-10-18,sz000027,sell,-8999,2.4117305186811504
2002-10-18,sz000852,sell,-3947,4.5672629228799622
2002-10-22,sh600628,sell,-5037,3.3123298205359313
2002-10-22,sz000850,sell,-11022,3.1055146739696662
2002-10-23,sh600770,buy,6950,3.4353685372818559
2002-10-23,sz000488,buy,11264,3.5898731660488878
2002-10-25,sz000531,sell,-8600,1.9827781348367204
2002-10-25,sz000539,sell,-6095,4.8229100029784453
2002-10-28,sh600896,sell,-5423,2.930656166806763
2002-10-28,sz000409,sell,-1408,9.07988987160787
2002-10-28,sz000423,sell,-5310,4.2611863643606585
2002-10-29,sz000716,sell,-2407,9.0417547612249489
2002-10-31,sz000901,sell,-3253,12.067019187561574
2002-11-01,sz000016,sell,-11182,1.5790213848601056
2002-11-04,sh600210,sell,-7706,2.7588466209550768
2002-11-04,sz000863,sell,-2192,6.1863577199968791
2002-11-05,sz000517,buy,12760,3.5853634444326135
2002-11-06,sh600130,buy,8585,3.801255398062406
2002-11-06,sh600501,buy,5450,6.072202130578483
2002-11-07,sz000151,buy,3041,7.8475404472716441
2002-11-07,sz000537,sell,-2488,8.7139692912127131
2002-11-08,sh600312,buy,12130,2.8732627867766625
2002-11-08,sz000833,buy,5207,5.7765992591158364
2002-11-11,sz000676,sell,-3102,12.732876777648926
2002-11-11,sz000906,sell,-3033,10.2649879977859
2002-11-12,sh600655,sell,-6954,2.3437355880196211
2002-11-12,sh600681,sell,-2457,6.0357308023595229
2002-11-12,sz000551,sell,-7145,3.2639550331970715
2002-11-12,sz000812,sell,-4674,3.9324400351679722
2002-11-12,sz000908,sell,-2532,5.9934120212929516
2002-11-13,sh600398,sell,-4954,4.165520191192627
2002-11-13,sh600679,sell,-2163,15.726764216405256
2002-11-13,sz000736,sell,-2105,9.5126036929900177
2002-11-14,sz000607,sell,-4126,5.4806843929057818
2002-11-15,sh600639,sell,-2966,6.0043435734814432
2002-11-15,sh600683,sell,-6896,3.4127704152474805
2002-11-15,sh600815,sell,-5557,3.8164958136263967
2002-11-15,sh600825,sell,-5366,3.3629022880490291
2002-11-15,sh600888,sell,-8073,2.2773976896956394
2002-11-15,sz000755,sell,-3042,4.65276201729659
2002-11-15,sz000912,sell,-5115,3.7976250648498535
2002-11-15,sz000950,sell,-2882,5.7027805605071133
2002-11-18,sh600057,sell,-5019,8.4407221087547146
2002-11-18,sz000540,sell,-19819,2.1530876527345653
2002-11-19,sz000562,sell,-4912,2.9773247728637018
2002-11-19,sz000597,sell,-3618,5.5991088010921874
2002-11-19,sz000652,sell,-10039,2.0997158843449948
2002-11-20,sh600074,sell,-9849,2.0363990305986674
2002-11-21,sh600827,sell,-3114,6.0561834863928761
2002-11-21,sz000089,sell,-6985,3.4356719284359629
2002-11-21,sz000919,sell,-4053,4.4652775624772882
2002-11-22,sh600033,sell,-17276,1.3663287217457938
2002-11-22,sh600707,sell,-3711,4.4319697945616809
2002-11-22,sh600712,sell,-8552,2.0032373539378776
2002-11-22,sh600738,sell,-4093,3.7692601426984345
2002-11-22,sh600817,sell,-2123,7.3607981840770238
2002-11-22,sz000029,sell,-2012,5.4612891320380186
2002-11-22,sz000418,sell,-4256,4.8568793510117398
2002-11-22,sz000550,sell,-4475,4.5317543116924979
2002-11-22,sz000659,sell,-7714,2.0245306542686876
2002-11-22,sz000778,sell,-14069,1.8167849779129028
2002-11-25,sh600770,sell,-6950,2.7236322645137272
2002-11-25,sz000637,sell,-10608,5.0627933725187564
2002-11-25,sz000720,sell,-4012,5.5156905493872896
2002-11-26,sz000685,buy,8832,2.8742072281182134
2002-11-27,sh600062,sell,-3741,6.7427887747872317
2002-11-27,sh600308,sell,-10221,2.3832941164075447
2002-12-02,sh600714,buy,2597,10.115499682902866
2002-12-09,sz000581,sell,-6695,3.3257238116556627
2002-12-11,sh600339,sell,-4036,5.8175097871494783
2002-12-13,sh600819,sell,-4400,5.2901022785771445
2002-12-16,sh600780,buy,14888,1.8375897886292405
2002-12-17,sh600358,buy,7749,5.7929932474454136
2002-12-20,sz000088,sell,-11749,2.3566658521264956
2002-12-27,sh600119,sell,-3565,7.1863454795877661
2002-12-27,sz000838,sell,-11203,1.446612967565976
2002-12-30,sh600275,sell,-3145,5.5842293060909478
2002-12-31,sh600339,buy,5651,7.2786529950704137
2002-12-31,sh600645,buy,7125,9.7921342678401349
2003-01-03,sz000680,sell,-8544,1.7944336343678231
2003-01-03,sz000927,sell,-5089,4.0160505980701062
2003-01-06,sz000517,sell,-12760,3.1383151014141837
2003-01-08,sh600836,buy,6947,2.9033843706265747
2003-01-08,sh600312,sell,-12130,2.4682894021586388
2003-01-08,sz000488,sell,-11264,3.3470939532258437
2003-01-10,sh600306,sell,-2245,12.397176231526027
2003-01-15,sz000503,buy,5726,5.4744345144202828
2003-01-17,sh600608,buy,4344,6.5122046072851196
2003-01-21,sh600231,buy,26981,1.2774372705670178
2003-01-21,sz000151,sell,-3041,6.2544283257048621
2003-01-21,sz000685,sell,-8832,3.043795420503197
2003-01-23,sz000502,buy,3421,9.9667781134189823
2003-01-27,sh600104,buy,17009,2.3667356099252714
2003-01-28,sh600019,buy,19198,2.2960618879754571
2003-02-11,sz000069,buy,44672,0.90504904009037412
2003-02-11,sz000554,buy,5494,8.0321081611402434
2003-02-13,sz000701,buy,2935,7.1860242625130981
2003-02-14,sh600328,buy,4965,5.4266575613099732
2003-02-17,sz000720,buy,3965,6.8405033513239708
2003-02-20,sh600761,buy,11764,2.5661059550092751
2003-02-21,sh600710,buy,9442,3.1692297695910154
2003-02-28,sh600166,buy,24474,1.3234356860547629
2003-03-04,sh600686,buy,10797,3.1063152829274259
2003-03-04,sh600797,buy,8465,5.3512111423691024
2003-03-04,sh600887,buy,44807,0.84372218068718075
2003-03-04,sz000717,buy,15826,2.3112861555743405
2003-03-04,sz000927,buy,7089,4.8263227870727663
2003-03-10,sh600009,buy,8096,5.4848298077252879
2003-03-12,sz000503,sell,-5726,4.4537733247234934
2003-03-14,sz000685,buy,5858,3.7939540954877033
2003-03-14,sz000792,buy,8631,3.6910414007354659
2003-03-18,sz000540,buy,54298,2.3073632993737494
2003-03-19,sh600660,buy,19678,1.5542809045991126
2003-03-19,sh600038,sell,-2432,11.66986528942348
2003-03-20,sz000402,buy,21790,1.7469021572813428
2003-03-25,sh600062,buy,7248,7.6934218406677246
2003-03-26,sz000088,buy,19673,2.6051301372968041
2003-03-27,sh600109,buy,29514,1.6820570230484009
2003-03-27,sh600501,sell,-5450,5.5549983823218101
2003-03-28,sh600067,buy,17239,1.6545190497466951
2003-03-28,sh600377,buy,5686,5.6626789882258208
2003-03-28,sh600835,buy,6057,5.7056456408524738
2003-03-31,sz000555,sell,-4571,7.7720083269038893
2003-03-31,sz000793,sell,-10273,2.5893162482556686
2003-04-01,sh600600,buy,5913,6.5623550576871779
2003-04-01,sz000572,buy,6145,3.6864046421172683
2003-04-02,sh600018,buy,10069,3.5616308733613979
2003-04-02,sz000517,buy,14350,3.6106978257952886
2003-04-03,sh600418,buy,15775,2.30008212618913
2003-04-03,sh600863,buy,31508,1.2409795339514249
2003-04-07,sh600699,buy,3664,6.1831016420771219
2003-04-07,sz000540,sell,-54298,2.1744287642821987
2003-04-08,sh600812,buy,8210,3.8619802488089299
2003-04-08,sh600829,sell,-8396,2.9778621679737141
2003-04-09,sh600609,buy,5551,5.1021886119698197
2003-04-09,sh600688,buy,19616,1.6724947230142666
2003-04-09,sh600890,buy,10398,13.767368188823934
2003-04-09,sz000503,buy,4236,5.5948997045892783
2003-04-10,sh600028,buy,24267,1.5938842589311255
2003-04-10,sh600098,buy,7723,4.5539785497722427
2003-04-10,sh600308,buy,14985,2.7675710929241362
2003-04-10,sz000550,buy,4789,5.8551786919814752
2003-04-11,sh600016,buy,31750,1.0605752321789548
2003-04-11,sz000027,buy,10799,3.0180082587622805
2003-04-11,sz000528,buy,13588,2.0565261162459429
2003-04-11,sz000702,buy,3704,12.406207044881178
2003-04-11,sh600018,sell,-10069,1.8578573820812592
2003-04-11,sz000554,sell,-5494,7.8592265900907394
2003-04-14,sh600005,buy,28015,1.3850115727286494
2003-04-14,sh600117,buy,7062,4.5272693924516414
2003-04-14,sh600569,buy,14856,2.8222637991486694
2003-04-14,sh600616,buy,12478,3.4197716804055922
2003-04-14,sh600742,buy,4096,9.0032774366136437
2003-04-14,sz000629,buy,23920,1.5731167661805809
2003-04-14,sz000859,buy,11098,3.1605417197480103
2003-04-14,sz000898,buy,18317,2.1560769081115723
2003-04-14,sz000903,buy,12506,2.4955638972946064
2003-04-15,sh600033,buy,21679,1.6602424494210775
2003-04-15,sh600302,buy,3662,8.0629622903627443
2003-04-15,sh600707,buy,5224,6.0756814831821382
2003-04-15,sh600756,buy,4279,7.6666283825332862
2003-04-15,sz000488,buy,9788,3.9410694162952518
2003-04-15,sz000581,buy,8993,3.9503536312346998
2003-04-15,sz000709,buy,26826,1.5168784677861074
2003-04-15,sz000761,buy,8262,3.8482763911035796
2003-04-15,sz000793,buy,14763,2.9478962364148931
2003-04-16,sh600085,buy,13624,3.6795338994470947
2003-04-16,sh600200,buy,9822,5.238028816214614
2003-04-16,sh600237,buy,6419,5.2934759512557799
2003-04-16,sh600270,buy,7643,5.2514436403765448
2003-04-16,sh600312,buy,11491,2.9502373083774858
2003-04-16,sh600643,buy,6292,4.9235278158756035
2003-04-16,sh600717,buy,10724,3.2697463202715418
2003-04-16,sh600831,buy,6255,4.938536480049919
2003-04-16,sz000002,buy,34868,1.0245421215102959
2003-04-16,sz000022,buy,7346,4.9821526021532261
2003-04-16,sz000760,buy,9738,2.6950386159194228
2003-04-16,sz000988,buy,8589,3.4805086542094061
2003-04-17,sh600282,buy,18227,2.1782177395615507
2003-04-17,sh600518,buy,40118,0.72941417383687657
2003-04-17,sh600653,buy,6500,3.9167716773726116
2003-04-17,sh600656,buy,3830,7.9248416685605161
2003-04-17,sh600819,buy,4137,6.6115743106375611
2003-04-17,sh600879,buy,9222,3.3761225555748751
2003-04-17,sz000612,buy,12856,2.4032665418647219
2003-04-17,sz000651,buy,68155,0.54002285832106878
2003-04-17,sz000680,buy,12459,2.2842533380133991
2003-04-17,sz000876,buy,10246,2.8257207454863158
2003-04-17,sz000951,buy,8073,3.4102320671081543
2003-04-18,sz000597,buy,3204,7.4509876424055781
2003-04-18,sz000652,buy,12352,2.5844346425466216
2003-04-21,sz000037,buy,4196,8.6358746863052147
2003-04-21,sz000895,buy,28031,1.4491908771154882
2003-04-22,sz000522,buy,5071,5.5452735459219271
2003-04-24,sh600176,buy,22150,1.1569736991106658
2003-04-24,sh600282,sell,-18227,1.9760215176074281
2003-04-24,sh600616,sell,-12478,3.4342027869206069
2003-04-25,sh600009,sell,-8096,5.2800755037828484
2003-04-25,sh600643,sell,-6292,4.3904095203249431
2003-04-25,sh600797,sell,-8465,4.6377092492820964
2003-04-25,sz000402,sell,-21790,1.7662981580725654
2003-04-25,sz000833,sell,-5207,5.1418050913927438
2003-04-25,sz000927,sell,-7089,5.6365906686493847
2003-04-28,sz000416,buy,4191,8.1000447771482307
2003-04-28,sh600005,sell,-28015,1.1871515458499613
2003-04-28,sh600019,sell,-19198,2.4874052818315322
2003-04-28,sh600231,sell,-26981,1.7760166715447914
2003-04-28,sh600742,sell,-4096,7.7822905515133662
2003-04-28,sz000629,sell,-23920,1.370678005768583
2003-04-29,sz000626,buy,2784,9.8973433688600476
2003-04-29,sz000698,buy,12284,3.2337612060641732
2003-04-30,sh600303,buy,8687,3.0226160077826805
2003-04-30,sh600130,sell,-8585,3.360410576153833
2003-04-30,sh600569,sell,-14856,2.5585753172064947
2003-04-30,sz000069,sell,-44672,0.91549976860356386
2003-05-12,sh600000,buy,12278,2.3760378057716567
2003-05-12,sh600011,buy,8954,3.8470003959266799
2003-05-12,sh600773,buy,5299,6.6023896423900119
2003-05-13,sz000601,buy,8137,3.5025937129935927
2003-05-14,sh600307,buy,19137,1.6710004860834102
2003-05-14,sh600805,buy,7684,3.3886200373920627
2003-05-14,sh600699,sell,-3664,4.5903721540121563
2003-05-14,sz000518,sell,-9148,3.8603236296584167
2003-05-14,sz000859,sell,-11098,2.8287699732369611
2003-05-15,sh600642,buy,9814,3.1097211905622832
2003-05-15,sh600679,buy,2098,18.216050039568323
2003-05-15,sh600740,buy,7916,3.7238491080153873
2003-05-15,sh600795,buy,32072,1.008073627599388
2003-05-15,sz000539,buy,7328,5.7307628579857361
2003-05-15,sz000543,buy,9101,3.1516145647125988
2003-05-15,sz000927,buy,4183,7.1373421389233549
2003-05-16,sh600183,buy,11486,2.4767763462510333
2003-05-16,sz000021,buy,4833,4.8643645501373278
2003-05-19,sz000157,buy,49806,0.52168325356233969
2003-05-20,sh601607,buy,4644,6.8174913415876262
2003-05-20,sz000933,buy,25770,1.10450614821423
2003-05-20,sz000702,sell,-3704,10.454508109169764
2003-05-21,sh600126,buy,8366,3.7629429828824996
2003-05-22,sh600078,buy,8151,3.2045702825714719
2003-05-22,sh600218,buy,4355,6.7496302337393104
2003-05-22,sh600006,sell,-11266,3.9066418478110299
2003-05-27,sh600726,buy,5043,5.7984626065778206
2003-05-27,sz000630,buy,40396,0.69737338260741433
2003-05-29,sh600086,buy,8862,3.7311248815604388
2003-05-30,sh600295,buy,7177,5.076103474521565
2003-05-30,sz000429,buy,9122,3.5613522015052581
2003-06-03,sz000883,buy,9957,2.6275533699785276
2003-06-04,sh600602,buy,3651,6.3947330512061686
2003-06-04,sz000570,buy,6271,4.1146144733121668
2003-06-04,sz000939,buy,11941,3.175303269324024
2003-06-04,sh600679,sell,-2098,16.618921283150701
2003-06-05,sh600808,buy,11349,2.4954095246103409
2003-06-05,sz000629,buy,17707,1.6553569269368666
2003-06-10,sh600182,buy,4390,6.040867630056538
2003-06-16,sh600037,buy,5575,5.31350091131534
2003-06-16,sh600135,buy,3515,9.2892160244058974
2003-06-17,sh600228,buy,3590,13.229495347220613
2003-06-17,sh600569,buy,9744,2.96888799148913
2003-06-19,sh600235,buy,2774,11.647202280301709
2003-06-19,sz000632,sell,-4471,5.027863603400907
2003-06-19,sz000685,sell,-5858,3.449037780121738
2003-06-20,sh600608,sell,-4344,6.0962457537893009
2003-06-23,sh600609,sell,-5551,5.3649738090168766
2003-06-24,sh600805,sell,-7684,3.4333985621953262
2003-06-24,sz000550,sell,-4789,6.2275783963830271
2003-06-24,sz000597,sell,-3204,6.6190928612195421
2003-06-24,sz000800,sell,-6586,5.9637572941384542
2003-06-25,sh600109,sell,-29514,1.5198635448209616
2003-06-25,sh600645,sell,-7125,9.8922136993337038
2003-06-26,sz000519,buy,6473,4.4922003524564555
2003-06-27,sz000002,sell,-34868,0.88453966518176574
2003-06-30,sh600303,sell,-8687,2.7944398085534168
2003-06-30,sh600761,sell,-11764,2.6037382564035418
2003-07-01,sh600117,sell,-7062,3.6466886184966789
2003-07-01,sh600328,sell,-4965,5.6957161813457384
2003-07-01,sh600836,sell,-6947,2.4611442966750032
2003-07-01,sz000761,sell,-8262,3.0470283617863587
2003-07-02,sz000906,buy,3519,9.2681708209275175
2003-07-02,sh600033,sell,-21679,1.4464991955495965
2003-07-02,sz000503,sell,-4236,5.4257421493530273
2003-07-02,sz000651,sell,-68155,0.46385819039015064
2003-07-02,sz000760,sell,-9738,2.1423264350551827
2003-07-03,sh600312,sell,-11491,2.4473043708003592
2003-07-03,sz000488,sell,-9788,3.7908240093057843
2003-07-03,sz000517,sell,-14350,3.205588062915798
2003-07-07,sh600601,buy,8508,3.1259019864211135
2003-07-07,sh600308,sell,-14985,2.4689970953779841
2003-07-07,sz000903,sell,-12506,2.0817358218982704
2003-07-08,sh600832,buy,9482,2.9012652484836767
2003-07-08,sh600218,sell,-4355,5.8017771560844738
2003-07-08,sh600302,sell,-3662,6.4547599781444127
2003-07-10,sh600210,buy,10273,3.4708559452669787
2003-07-10,sh600235,sell,-2774,9.5002582671569584
2003-07-11,sh600309,buy,18054,1.5235984757417123
2003-07-11,sh600829,buy,9063,3.7473592625358312
2003-07-11,sz000600,buy,5354,4.8890674144480428
2003-07-11,sz000839,buy,4343,5.9200504611450819
2003-07-11,sh600714,sell,-2597,11.307850214430857
2003-07-14,sh600768,buy,5545,9.3069327004327675
2003-07-14,sh601607,sell,-4644,5.8177165819319532
2003-07-16,sh600009,buy,5363,6.2229442297898787
2003-07-16,sh600794,buy,22597,1.2906626337829943
2003-07-17,sh600250,buy,5541,6.1013135057930574
2003-07-17,sz000858,buy,11995,2.7736183650743653
2003-07-17,sz000892,buy,2150,10.300251293839926
2003-07-18,sh600190,buy,6413,3.6552317341178688
2003-07-18,sh600635,buy,25133,1.4022534891377516
2003-07-18,sz000063,buy,8893,3.0596791283636691
2003-07-21,sh600358,sell,-7749,5.2837460185477489
2003-07-21,sh600835,sell,-6057,5.0170830783896641
2003-07-21,sz000698,sell,-12284,2.7821526099120857
2003-07-22,sz000039,buy,11256,3.0760030746459961
2003-07-22,sh600418,sell,-15775,2.160402215259738
2003-07-22,sz000539,sell,-7328,5.0036942333998384
2003-07-22,sz000572,sell,-6145,3.258305354143229
2003-07-22,sz000599,sell,-6212,3.5871123188635528
2003-07-23,sz000792,sell,-8631,3.5210487427659247
2003-07-24,sh600207,buy,3725,7.0902161366548491
2003-07-24,sh600773,sell,-5299,5.8726767916521956
2003-07-28,sh600000,sell,-12278,2.083405468490529
2003-07-28,sh600098,sell,-7723,3.8605439231013685
2003-07-28,sh600377,sell,-5686,5.0619061555382086
2003-07-28,sh600653,sell,-6500,3.0584100400996239
2003-07-28,sh600686,sell,-10797,2.7440458504329661
2003-07-28,sh600812,sell,-8210,3.5799949169158936
2003-07-28,sz000522,sell,-5071,4.3461501955142401
2003-07-28,sz000927,sell,-4183,6.1438795499361154
2003-07-29,sh600016,sell,-31750,1.0259990861330794
2003-07-29,sh600295,sell,-7177,4.4027417866462004
2003-07-29,sh600726,sell,-5043,4.8016042813436748
2003-07-31,sh600019,buy,11956,2.8963347975848976
2003-07-31,sz000662,buy,5849,4.7123061232249759
2003-08-01,sh600518,sell,-40118,0.62874330001346868
2003-08-04,sz000612,sell,-12856,1.9723012601064782
2003-08-05,sh600087,buy,29281,1.2276703034059901
2003-08-05,sz000725,buy,7942,3.2007539331254096
2003-08-05,sz000978,buy,7278,8.744317035355003
